,Predict,Low,Up
2017-12-01,406.5990744906563,405.994338165136,407.20381081617654
2018-01-01,407.81452391213986,407.09502834553365,408.5340194787461
2018-02-01,408.5687856042701,407.7620054929477,409.3755657155925
2018-03-01,409.47767206695374,408.60208001629513,410.35326411761235
2018-04-01,411.03594434013513,410.1001846232518,411.9717040570185
2018-05-01,411.63990493731416,410.6493558367978,412.63045403783053
2018-06-01,410.8607013571136,409.8190214561184,411.90238125810885
2018-07-01,409.1711644720734,408.0811147094941,410.26121423465264
2018-08-01,407.0711695570976,405.93497779500865,408.2073613191866
2018-09-01,405.62108367963776,404.44063236467,406.8015349946055
2018-10-01,405.89133973969433,404.66826727079393,407.11441220859473
2018-11-01,407.4246941263255,406.1604544535285,408.68893379912254
2018-12-01,408.8568900005009,407.53069394540097,410.1830860556009
2019-01-01,410.0598917191672,408.6825273019271,411.43725613640726
2019-02-01,410.80633475919745,409.38049811005766,412.23217140833725
2019-03-01,411.71146113105175,410.2395704868085,413.183351775295
2019-04-01,413.267439684188,411.75121792031945,414.78366144805653
2019-05-01,413.8703441429598,412.3112148430936,415.42947344282607
2019-06-01,413.0910227643156,411.4902119154667,414.6918336131645
2019-07-01,411.4019150512349,409.76051736401365,413.0433127384561
2019-08-01,409.3026036618551,407.6216162336875,410.9835910900226
2019-09-01,407.85300940548547,406.13335175785335,409.5726670531176
2019-10-01,408.12314170967824,406.36566849438424,409.88061492497224
2019-11-01,409.65591455585985,407.86142439740746,411.45040471431224
2019-12-01,411.08757231750394,409.23915483112677,412.9359898038811
2020-01-01,412.29012398971236,410.39578534399277,414.18446263543194
2020-02-01,413.0362881409415,411.09782097275297,414.97475530913005
2020-03-01,413.94107729772367,411.9601463274569,415.9220082679904
2020-04-01,415.4964769525066,413.47424525797845,417.51870864703477
2020-05-01,416.0991570698237,414.03658951873354,418.1617246209139
2020-06-01,415.3201254010354,413.21806071388323,417.42219008818756
2020-07-01,413.63164573491383,411.49084381283365,415.772447656994
2020-08-01,411.5331149431073,409.35427938910215,413.71195049711247
2020-09-01,410.0840597003599,407.8678503518279,412.3002690488919
2020-10-01,410.3540915532235,408.10113177906806,412.60705132737894
2020-11-01,411.8862944453635,409.59717584501095,414.175413045716
2020-12-01,413.3174198530559,410.9773090571496,415.6575306489622
2021-01-01,414.5195243634976,412.13516713083766,416.9038815961576
2021-02-01,415.2654110580422,412.83823506595775,417.6925870501267
2021-03-01,416.16986377455777,413.701215690216,418.63851185889956
2021-04-01,417.7246850637227,415.21549200673417,420.2338781207112
2021-05-01,418.3271410782076,415.7781712790102,420.876110877405
2021-06-01,417.5483990874214,414.9603220237155,420.1364761511273
2021-07-01,415.8605472718153,413.23397335054455,418.487121193086
2021-08-01,413.7627968054545,411.0982957326307,416.42729787827835
2021-09-01,412.3142803847649,409.6123910419863,415.0161697275435
2021-10-01,412.5842118279851,409.8454477275772,415.32297592839296
2021-11-01,414.1158449801358,411.34069757348806,416.8909923867836
2021-12-01,415.5464382328647,412.72142194148,418.37145452424943
2022-01-01,416.7480957483203,413.87920277933756,419.616988717303
2022-02-01,417.49370508959834,414.58216277311806,420.4052474060786
2022-03-01,418.39782149107145,415.44479818508984,421.35084479705307
2022-04-01,419.9520646297391,416.9583568086137,422.94577245086447
2022-05-01,420.5542966247519,417.52056332856597,423.5880299209378
